"Ebene";"OE";"Art";"FB";"Menge";"Verfügbar";"Menge Ist";"Ausstattung | Hersteller | Typ";"Sachnummer";"Inventar Nr";"Gerätenr.";"Status"
4;"";"Satz";"";"1";"1";"";"      Flaggensatz in  Aufbewahrungstasche (SE)";"8345T21754";"0758-S000376";" ";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Flaggen- Aufbewahrungstasche";"8105T21759";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Flagge zur Kfz-Kennzeichnung; rot";"8345T21756";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Flagge zur Kfz-Kennzeichnung; blau";"8345T21757";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Flagge zur Kfz-Kennzeichnung; grün";"8345T21758";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Flagge zur Kfz-Kennzeichnung; gelb";"8345T21759";"---------------";"--------------------";"A"
4;"";"Satz";"";"1";"1";"";"      Umweltschutzausstattung (SE)";"9999T31840";"0758-S000377";" ";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Fensterleder, handelsüblich";"7920T21664";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Handfeger";"7920T22667";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Plastikentsorgungsbeutel, 20 l";"8105T21694";"---------------";"--------------------";"A"
5;"";"Gwm";"";"1 ";"1";"1";"        Ölbindetücher";"9390T21816";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Abschleppstange mit Zugöse";"2540T22167";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Sperrbalkenschlüssel";"4210T22113";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Klauenbeil 900 g, Beilstiel 350 mm";"5110T32584";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Kreuzhacke, 3 kg, mit Stiel 800 mm lg";"5120T00740";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spaten, mit T-Griffstiel, 900 mm";"5120T22842";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Aufbewahrungsbehältnis, Bordausstattung über 3,5 t.";"5140T22969";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Verbindungsleitung für Fremdstrom, D 35, VDA 72593 (Nato-Polklemmen)";"6150T00011";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Verbindungsleitung für Fremdstrom, D 35, VDA 72593 (Polklemmen-Polklemmen)";"6150T00037";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Verbindungsleitung für Fremdstrom, D 35, VDA 72593 (Nato - Nato)";"6150T22384";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      KFZ-Werkstattleuchte, 24V";"6230T22406";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Anhaltestab einseitig beleuchtet";"6350T21423";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Warnblinkleuchte mit Akku und Ladegerät";"6350T21429";"---------------";"--------------------";"A"
4;"";"Gwm";"";"2 ";"2";"2";"      Warndreieck, 45 cm, im Aufbewahrungsbehälter";"6350T21431";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Verbandskasten nach DIN 13164-B";"6545T25041";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Einfüllstutzen mit flexiblen Stahlschlauch";"7240T21549";"---------------";"--------------------";"A"
4;"";"Gwm";"";"2 ";"2";"2";"      Einheitskanister, Kraftstoff";"7240T22550";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Bedienungsanleitung";"7610T00001";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Service-Mappe";"8105T00014";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Schutztasche für Begleitpapiere";"8105T21697";"---------------";"--------------------";"A"
4;"";"Gwm";"";"2 ";"2";"2";"      Handschuhe, Arbeit- EN 388/420";"8415T22788";"---------------";"--------------------";"A"
4;"";"Gwm";"";"2 ";"2";"2";"      Warnweste ""THW"" in Tasche";"8415T22794";"---------------";"--------------------";"A"
3;"";"Teil";"";"1";"1";"";"    Seilwinde, Kfz; 5/10 t Zugkraft | ROTZLER | 7000H2-58";"3820T22306";"0758-000374";" ";"A"
3;"";"Gwm";"";"1 ";"1";"1";"    Anhängekupplung LKW";"2510T22143";"---------------";"--------------------";"A"
3;"";"Gwm";"";"1 ";"1";"1";"    Kfz-Nebenantrieb für hydr. Seilwindenantrieb";"2520T22166";"---------------";"--------------------";"A"
3;"";"Gwm";"";"2 ";"2";"2";"    Unterlegkeil nach DIN 14854 (für Seilwinde)";"2540T22184";"---------------";"--------------------";"A"
1;"";"Pos";"";"1";"1";"";"Anhänger (7 t bis  9,99 t Nutzlast), Plane/Spriegel, 4-Rad (SE)";"2330T22002";"";"";"V"
2;"";"Satz";"";"1";"0";"";"  Anhänger (7 t bis  9,99 t Nutzlast), Plane/Spriegel, 4-Rad (SE)";"2330T22002";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Fahrgestell Anhänger Pritsche/[Spriegel/Plane], 4-Rad";"2330T22137";"";"";"F"
3;"";"Satz";"";"1";"0";"";"    Anhänger-Aufbau Plane/Spriegel (SE)";"2330T26128";"";"";"F"
4;"";"Satz";"";"1";"0";"";"      Zubehörsatz Anhänger (SE)";"2330T22102";"";"";"F"
5;"";"Gwm";"";"0 ";"0";"2";"        Unterlegkeil nach DIN 76051, versch. Größen, Kunststoff";"2540T22183";"---------------";"--------------------";"F"
5;"";"Gwm";"";"0 ";"0";"1";"        Ersatzrad (Reserverad), komplett";"2610T21190";"---------------";"--------------------";"F"
5;"";"Gwm";"";"0 ";"0";"1";"        Bordwerkzeug, modellgebunden;";"5180T21984";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Aufbau Plane/Spriegel";"2510T26129";"---------------";"--------------------";"F"
3;"";"Satz";"";"1";"0";"";"    Ladungssicherungssatz für Fahrzeuge (SE)";"3940T22200";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (2000 kg)";"3940T22187";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (2000 kg)";"3940T22187";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (2000 kg)";"3940T22187";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (2000 kg)";"3940T22187";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (2000 kg)";"3940T22187";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (2000 kg)";"3940T22187";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (2000 kg)";"3940T22187";"";"";"F"
4;"";"Teil";"";"1";"0";"";"      Zurrgurt mit Ratsche (2000 kg)";"3940T22187";"";"";"F"
4;"";"Gwm";"";"0 ";"0";"32";"      Zurrpunkt";"3940T00003";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"2";"      Sperrstange";"3940T00007";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Kantenschutz";"3990T00005";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Antirutschmatte";"3990T00006";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Bedienungsanleitung Anhänger 2-Achsen";"7610T11644";"---------------";"--------------------";"F"
1;"";"Pos";"";"1";"1";"";"Schweiß-und Brennausstattung, autogen (SE)";"3433T22903";"";"";"V"
2;"";"Satz";"";"1";"0";"";"  Schweiß-und Brennausstattung, autogen (SE)";"3433T22903";"";"";"F"
3;"";"Satz";"";"1";"0";"";"    Schneideinsätze, Satz (SE)";"3433T22200";"";"";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Schneideinsatz, Vollmessing";"3433T22223";"---------------";"--------------------";"F"
4;"";"Gwm";"";"0 ";"0";"1";"      Stech-Schneideinsatz, Vollmessing";"3433T22229";"---------------";"--------------------";"F"
3;"";"Teil";"";"1";"0";"";"    Griffstück, Schweiß- und Schneidbrenner";"3433T22213";"";"";"F"
3;"";"Satz";"";"1";"0";"";"    Schneiddüsen, Satz (SE)";"3433T22300";"";"";"F"
